test_id	ncbi_gene_link	gene_symbol	gene_id	gene_desc	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant	linear_fold_change	"diff_exp
Ulk2	Ulk2	Ulk2	29869	unc-51 like kinase 2	chr11:61775597-61855092	pomc	nonpomc	OK	19.084	17.466	-0.128	-0.683	1.68E-01	1.98E-01	no	0.915	No
Far1	Far1	Far1	67420	fatty acyl CoA reductase 1	chr7:113513861-113570458	pomc	nonpomc	OK	35.455	32.447	-0.128	-0.684	1.76E-01	2.08E-01	no	0.915	No
Mudeng	Mudeng	Mudeng	.	.	chr14:49012143-49087723	pomc	nonpomc	OK	6.821	6.242	-0.128	-0.254	5.98E-01	6.32E-01	no	0.915	No
1110021J02Rik	1110021J02Rik	1110021J02Rik	.	.	chr17:29660600-29717017	pomc	nonpomc	OK	15.324	14.023	-0.128	-0.293	5.53E-01	5.90E-01	no	0.915	No
Acacb	Acacb	Acacb	100705	acetyl-Coenzyme A carboxylase beta	chr5:114165517-114250758	pomc	nonpomc	OK	1.221	1.117	-0.128	-0.485	3.29E-01	3.67E-01	no	0.915	No
Fgfr1	Fgfr1	Fgfr1	14182	fibroblast growth factor receptor 1	chr8:25518771-25575714	pomc	nonpomc	OK	13.984	12.793	-0.128	-0.676	1.86E-01	2.18E-01	no	0.915	No
Chodl	Chodl	Chodl	246048	chondrolectin	chr16:78930947-78951728	pomc	nonpomc	OK	3.722	3.405	-0.128	-0.411	4.08E-01	4.48E-01	no	0.915	No
Zfp563	Zfp563	Zfp563	240068	zinc finger protein 563	chr17:33089366-33110704	pomc	nonpomc	OK	4.131	3.779	-0.129	-0.535	2.89E-01	3.26E-01	no	0.915	No
Zfp46	Zfp46	Zfp46	22704	zinc finger protein 46	chr4:136286068-136293942	pomc	nonpomc	OK	8.762	8.013	-0.129	-0.640	2.09E-01	2.43E-01	no	0.915	No
Nmbr	Nmbr	Nmbr	18101	neuromedin B receptor	chr10:14760288-14770556	pomc	nonpomc	OK	1.374	1.256	-0.129	-0.215	6.60E-01	6.92E-01	no	0.915	No
Mnat1	Mnat1	Mnat1	17420	menage a trois 1	chr12:73123716-73273988	pomc	nonpomc	OK	10.409	9.518	-0.129	-0.552	2.67E-01	3.03E-01	no	0.914	No
Arhgap24	Arhgap24	Arhgap24	231532	Rho GTPase activating protein 24	chr5:102481390-102897937	pomc	nonpomc	OK	12.850	11.749	-0.129	-0.635	2.06E-01	2.39E-01	no	0.914	No
Tdrd7	Tdrd7	Tdrd7	100121	tudor domain containing 7	chr4:45987461-46034759	pomc	nonpomc	OK	11.181	10.222	-0.129	-0.622	2.13E-01	2.47E-01	no	0.914	No
Gm20300	Gm20300	Gm20300	100504586	"predicted gene, 20300"	chr10:30603194-30606634	pomc	nonpomc	OK	39.280	35.908	-0.129	-0.685	1.70E-01	2.01E-01	no	0.914	No
Gpr137c	Gpr137c	Gpr137c	70713	G protein-coupled receptor 137C	chr14:45219716-45280976	pomc	nonpomc	OK	6.950	6.353	-0.130	-0.528	3.02E-01	3.40E-01	no	0.914	No
Ptplad1	Ptplad1	Ptplad1	.	.	chr9:64986982-65021717	pomc	nonpomc	OK	64.057	58.553	-0.130	-0.693	1.56E-01	1.86E-01	no	0.914	No
Dgkk	Dgkk	Dgkk	331374	diacylglycerol kinase kappa	chrX:6873483-6948363	pomc	nonpomc	OK	13.650	12.477	-0.130	-0.678	1.65E-01	1.96E-01	no	0.914	No
Oscp1	Oscp1	Oscp1	230751	organic solute carrier partner 1	chr4:126058564-126089334	pomc	nonpomc	OK	17.478	15.975	-0.130	-0.619	2.17E-01	2.52E-01	no	0.914	No
Ppm1g	Ppm1g	Ppm1g	14208	"protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform"	chr5:31202667-31220545	pomc	nonpomc	OK	35.410	32.366	-0.130	-0.683	1.68E-01	1.99E-01	no	0.914	No
Ercc3	Ercc3	Ercc3	13872	"excision repair cross-complementing rodent repair deficiency, complementation group 3"	chr18:32240330-32270147	pomc	nonpomc	OK	15.974	14.592	-0.130	-0.639	2.05E-01	2.39E-01	no	0.914	No
Ifltd1	Ifltd1	Ifltd1	.	.	chr6:145397234-145434925	pomc	nonpomc	OK	1.667	1.523	-0.131	-0.288	5.60E-01	5.96E-01	no	0.913	No
Ctps2	Ctps2	Ctps2	55936	cytidine 5'-triphosphate synthase 2	chrX:162407199-163352564	pomc	nonpomc	OK	16.050	14.657	-0.131	-0.256	6.11E-01	6.44E-01	no	0.913	No
Zfp871	Zfp871	Zfp871	208292	zinc finger protein 871	chr17:32765496-32788287	pomc	nonpomc	OK	15.615	14.257	-0.131	-0.735	1.56E-01	1.86E-01	no	0.913	No
Gabpa	Gabpa	Gabpa	14390	"GA repeat binding protein, alpha"	chr16:84827870-84863778	pomc	nonpomc	OK	8.059	7.357	-0.132	-0.240	6.31E-01	6.63E-01	no	0.913	No
Dhcr24	Dhcr24	Dhcr24	74754	24-dehydrocholesterol reductase	chr4:106561037-106589113	pomc	nonpomc	OK	15.517	14.163	-0.132	-0.696	1.74E-01	2.05E-01	no	0.913	No
Pip5kl1	Pip5kl1	Pip5kl1	227733	phosphatidylinositol-4-phosphate 5-kinase-like 1	chr2:32575818-32583779	pomc	nonpomc	OK	2.573	2.349	-0.132	-0.342	4.92E-01	5.31E-01	no	0.913	No
Lrrc4	Lrrc4	Lrrc4	192198	leucine rich repeat containing 4	chr6:28480347-28888832	pomc	nonpomc	OK	11.186	10.209	-0.132	-0.360	4.61E-01	5.00E-01	no	0.913	No
Zfp947	Zfp947	Zfp947	210853	zinc finger protein 947	chr17:22144358-22165977	pomc	nonpomc	OK	3.659	3.338	-0.132	-0.414	4.19E-01	4.59E-01	no	0.912	No
F2r	F2r	F2r	14062	coagulation factor II (thrombin) receptor	chr13:95601788-95618433	pomc	nonpomc	OK	4.713	4.299	-0.132	-0.501	3.13E-01	3.51E-01	no	0.912	No
Wwp2	Wwp2	Wwp2	66894	WW domain containing E3 ubiquitin protein ligase 2	chr8:107436397-107558595	pomc	nonpomc	OK	10.299	9.395	-0.133	-0.663	1.83E-01	2.15E-01	no	0.912	No
Usp28	Usp28	Usp28	235323	ubiquitin specific peptidase 28	chr9:48985384-49042517	pomc	nonpomc	OK	4.642	4.234	-0.133	-0.549	2.68E-01	3.04E-01	no	0.912	No
Tec	Tec	Tec	21682	tec protein tyrosine kinase	chr5:72755722-72868448	pomc	nonpomc	OK	1.025	0.935	-0.133	-0.290	5.58E-01	5.95E-01	no	0.912	No
B3galnt1	B3galnt1	B3galnt1	26879	"UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1"	chr3:69574185-69598861	pomc	nonpomc	OK	25.489	23.243	-0.133	-0.631	2.11E-01	2.45E-01	no	0.912	No
Nuak1	Nuak1	Nuak1	77976	"NUAK family, SNF1-like kinase, 1"	chr10:84371318-84440471	pomc	nonpomc	OK	8.132	7.415	-0.133	-0.659	1.88E-01	2.21E-01	no	0.912	No
Tfdp2	Tfdp2	Tfdp2	211586	transcription factor Dp 2	chr9:96196274-96323646	pomc	nonpomc	OK	7.418	6.763	-0.133	-0.655	1.88E-01	2.20E-01	no	0.912	No
Cpne3	Cpne3	Cpne3	70568	copine III	chr4:19519251-19570104	pomc	nonpomc	OK	4.750	4.330	-0.133	-0.575	2.57E-01	2.92E-01	no	0.912	No
Fam123c	Fam123c	Fam123c	.	.	chr1:34579692-34590944	pomc	nonpomc	OK	7.183	6.548	-0.133	-0.640	1.99E-01	2.32E-01	no	0.912	No
Zbtb24	Zbtb24	Zbtb24	268294	zinc finger and BTB domain containing 24	chr10:41450395-41465574	pomc	nonpomc	OK	5.223	4.760	-0.134	-0.537	2.78E-01	3.14E-01	no	0.911	No
Sfxn4	Sfxn4	Sfxn4	94281	sideroflexin 4	chr19:60837276-60861430	pomc	nonpomc	OK	6.621	6.033	-0.134	-0.523	2.97E-01	3.34E-01	no	0.911	No
Pcyox1	Pcyox1	Pcyox1	66881	prenylcysteine oxidase 1	chr6:86386005-86397150	pomc	nonpomc	OK	21.895	19.950	-0.134	-0.700	1.49E-01	1.79E-01	no	0.911	No
Luc7l	Luc7l	Luc7l	66978	Luc7-like	chr17:26252909-26285506	pomc	nonpomc	OK	35.453	32.302	-0.134	-0.672	1.82E-01	2.14E-01	no	0.911	No
Mbnl1	Mbnl1	Mbnl1	56758	muscleblind-like 1 (Drosophila)	chr3:60472829-60629748	pomc	nonpomc	OK	37.416	34.083	-0.135	-0.723	1.51E-01	1.80E-01	no	0.911	No
Atad3a	Atad3a	Atad3a	108888	"ATPase family, AAA domain containing 3A"	chr4:155740639-155761098	pomc	nonpomc	OK	11.757	10.709	-0.135	-0.627	2.12E-01	2.46E-01	no	0.911	No
Slc9a6	Slc9a6	Slc9a6	236794	"solute carrier family 9 (sodium/hydrogen exchanger), member 6"	chrX:56609834-56664230	pomc	nonpomc	OK	29.202	26.590	-0.135	-0.718	1.45E-01	1.74E-01	no	0.911	No
Rab39	Rab39	Rab39	270160	"RAB39, member RAS oncogene family"	chr9:53684109-53706232	pomc	nonpomc	OK	1.095	0.997	-0.135	-0.294	5.53E-01	5.90E-01	no	0.910	No
Sugt1	Sugt1	Sugt1	67955	"SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)"	chr14:79587690-79629755	pomc	nonpomc	OK	47.895	43.602	-0.135	-0.699	1.62E-01	1.93E-01	no	0.910	No
Cenpk	Cenpk	Cenpk	60411	centromere protein K	chr13:104228954-104249617	pomc	nonpomc	OK	0.549	0.500	-0.135	-0.138	7.91E-01	8.13E-01	no	0.910	No
Helq	Helq	Helq	191578	"helicase, POLQ-like"	chr5:100762147-100798600	pomc	nonpomc	OK	4.047	3.684	-0.136	-0.528	2.95E-01	3.32E-01	no	0.910	No
Tmem200c	Tmem200c	Tmem200c	622645	transmembrane protein 200C	chr17:68837135-68843138	pomc	nonpomc	OK	2.785	2.535	-0.136	-0.516	3.28E-01	3.67E-01	no	0.910	No
Senp5	Senp5	Senp5	320213	SUMO/sentrin specific peptidase 5	chr16:31959669-32003287	pomc	nonpomc	OK	16.925	15.402	-0.136	-0.719	1.50E-01	1.79E-01	no	0.910	No
Sept6	Sept6	Sept6	56526	septin 6	chrX:36910833-36989695	pomc	nonpomc	OK	25.234	22.946	-0.137	-0.720	1.51E-01	1.81E-01	no	0.909	No
Zmiz2	Zmiz2	Zmiz2	52915	"zinc finger, MIZ-type containing 2"	chr11:6389363-6406162	pomc	nonpomc	OK	44.295	40.279	-0.137	-0.751	1.48E-01	1.78E-01	no	0.909	No
Aco2	Aco2	Aco2	11429	"aconitase 2, mitochondrial"	chr15:81872462-81926213	pomc	nonpomc	OK	101.460	92.247	-0.137	-0.660	1.88E-01	2.21E-01	no	0.909	No
Fastkd1	Fastkd1	Fastkd1	320720	FAST kinase domains 1	chr2:69686823-69712606	pomc	nonpomc	OK	7.244	6.586	-0.137	-0.541	2.76E-01	3.13E-01	no	0.909	No
Zfyve9	Zfyve9	Zfyve9	230597	"zinc finger, FYVE domain containing 9"	chr4:108639258-108781904	pomc	nonpomc	OK	22.869	20.789	-0.138	-0.578	2.45E-01	2.80E-01	no	0.909	No
Gtf3c2	Gtf3c2	Gtf3c2	71752	"general transcription factor IIIC, polypeptide 2, beta"	chr5:31156005-31180144	pomc	nonpomc	OK	11.667	10.604	-0.138	-0.692	1.63E-01	1.94E-01	no	0.909	No
Dcn	Dcn	Dcn	13179	decorin	chr10:97479499-97518162	pomc	nonpomc	OK	7.266	6.604	-0.138	-0.478	3.38E-01	3.76E-01	no	0.909	No
Cnnm1	Cnnm1	Cnnm1	83674	cyclin M1	chr19:43440435-43497213	pomc	nonpomc	OK	13.958	12.684	-0.138	-0.750	1.46E-01	1.75E-01	no	0.909	No
Lmnb1	Lmnb1	Lmnb1	16906	lamin B1	chr18:56707812-56753424	pomc	nonpomc	OK	5.196	4.721	-0.138	-0.556	2.67E-01	3.03E-01	no	0.909	No
1700001K19Rik	1700001K19Rik	1700001K19Rik	66323	RIKEN cDNA 1700001K19 gene	chr12:110667688-110682619	pomc	nonpomc	OK	2.326	2.113	-0.138	-0.293	5.58E-01	5.95E-01	no	0.909	No
Zfp74	Zfp74	Zfp74	72723	zinc finger protein 74	chr7:29932790-29951893	pomc	nonpomc	OK	7.218	6.557	-0.139	-0.614	2.16E-01	2.50E-01	no	0.908	No
Fam20c	Fam20c	Fam20c	80752	"family with sequence similarity 20, member C"	chr5:138755080-138810063	pomc	nonpomc	OK	12.186	11.063	-0.139	-0.697	1.70E-01	2.01E-01	no	0.908	No
Pdia6	Pdia6	Pdia6	71853	protein disulfide isomerase associated 6	chr12:17266594-17324730	pomc	nonpomc	OK	28.769	26.117	-0.140	-0.686	1.77E-01	2.09E-01	no	0.908	No
Lin9	Lin9	Lin9	72568	lin-9 homolog (C. elegans)	chr1:180641333-180690687	pomc	nonpomc	OK	2.832	2.571	-0.140	-0.369	4.55E-01	4.95E-01	no	0.908	No
Zbtb8a	Zbtb8a	Zbtb8a	73680	zinc finger and BTB domain containing 8a	chr4:129353631-129378028	pomc	nonpomc	OK	2.058	1.868	-0.140	-0.394	4.40E-01	4.80E-01	no	0.908	No
Usp18	Usp18	Usp18	24110	ubiquitin specific peptidase 18	chr6:121245905-121270917	pomc	nonpomc	OK	1.015	0.921	-0.140	-0.264	5.98E-01	6.32E-01	no	0.908	No
Paxip1	Paxip1	Paxip1	55982	PAX interacting (with transcription-activation domain) protein 1	chr5:27740664-27791339	pomc	nonpomc	OK	13.213	11.985	-0.141	-0.728	1.41E-01	1.69E-01	no	0.907	No
Xiap	Xiap	Xiap	11798	X-linked inhibitor of apoptosis	chrX:42067835-42109664	pomc	nonpomc	OK	34.565	31.337	-0.141	-0.763	1.21E-01	1.48E-01	no	0.907	No
Dgcr8	Dgcr8	Dgcr8	94223	DiGeorge syndrome critical region gene 8	chr16:18248882-18289168	pomc	nonpomc	OK	12.246	11.101	-0.142	-0.569	2.57E-01	2.93E-01	no	0.906	No
Mdm1	Mdm1	Mdm1	17245	transformed mouse 3T3 cell double minute 1	chr10:118141786-118168999	pomc	nonpomc	OK	2.694	2.442	-0.142	-0.474	3.40E-01	3.78E-01	no	0.906	No
Nipal3	Nipal3	Nipal3	74552	NIPA-like domain containing 3	chr4:135448900-135494504	pomc	nonpomc	OK	18.172	16.471	-0.142	-0.752	1.28E-01	1.55E-01	no	0.906	No
Phf2	Phf2	Phf2	18676	PHD finger protein 2	chr13:48801749-48870885	pomc	nonpomc	OK	11.834	10.725	-0.142	-0.751	1.33E-01	1.60E-01	no	0.906	No
9030418K01Rik	9030418K01Rik	9030418K01Rik	.	.	chr2:178414533-178422161	pomc	nonpomc	OK	12.246	11.097	-0.142	-0.663	1.87E-01	2.19E-01	no	0.906	No
Rod1	Rod1	Rod1	.	.	chr4:59471867-59549364	pomc	nonpomc	OK	6.302	5.708	-0.143	-0.651	1.96E-01	2.29E-01	no	0.906	No
Clcn7	Clcn7	Clcn7	26373	"chloride channel, voltage-sensitive 7"	chr17:25133393-25162099	pomc	nonpomc	OK	6.892	6.243	-0.143	-0.661	1.84E-01	2.16E-01	no	0.906	No
Acsl1	Acsl1	Acsl1	14081	acyl-CoA synthetase long-chain family member 1	chr8:46471041-46536050	pomc	nonpomc	OK	11.126	10.077	-0.143	-0.693	1.66E-01	1.97E-01	no	0.906	No
Ccdc87	Ccdc87	Ccdc87	399599	coiled-coil domain containing 87	chr19:4839365-4842528	pomc	nonpomc	OK	0.842	0.762	-0.143	-0.312	5.29E-01	5.67E-01	no	0.906	No
Ddo	Ddo	Ddo	70503	D-aspartate oxidase	chr10:40630010-40649931	pomc	nonpomc	OK	4.828	4.371	-0.143	-0.546	2.75E-01	3.11E-01	no	0.905	No
Camk1d	Camk1d	Camk1d	227541	calcium/calmodulin-dependent protein kinase ID	chr2:5293456-5714664	pomc	nonpomc	OK	10.723	9.706	-0.144	-0.748	1.34E-01	1.62E-01	no	0.905	No
Ntsr1	Ntsr1	Ntsr1	18216	neurotensin receptor 1	chr2:180499975-180544979	pomc	nonpomc	OK	3.279	2.968	-0.144	-0.570	2.61E-01	2.97E-01	no	0.905	No
Opn4	Opn4	Opn4	30044	opsin 4 (melanopsin)	chr14:34590617-34600142	pomc	nonpomc	OK	0.715	0.647	-0.144	-0.274	5.81E-01	6.16E-01	no	0.905	No
Zfp949	Zfp949	Zfp949	71640	zinc finger protein 949	chr9:88548019-88571086	pomc	nonpomc	OK	11.976	10.840	-0.144	-0.689	1.69E-01	2.00E-01	no	0.905	No
4930452B06Rik	4930452B06Rik	4930452B06Rik	74430	RIKEN cDNA 4930452B06 gene	chr14:8431171-8666290	pomc	nonpomc	OK	3.661	3.313	-0.144	-0.509	3.11E-01	3.49E-01	no	0.905	No
Hmgcs1	Hmgcs1	Hmgcs1	208715	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	chr13:119690461-119708077	pomc	nonpomc	OK	108.442	98.125	-0.144	-0.764	1.30E-01	1.57E-01	no	0.905	No
Cpt2	Cpt2	Cpt2	12896	carnitine palmitoyltransferase 2	chr4:107903981-107923589	pomc	nonpomc	OK	5.067	4.584	-0.145	-0.527	2.85E-01	3.22E-01	no	0.905	No
Zfp326	Zfp326	Zfp326	54367	zinc finger protein 326	chr5:105876567-105915820	pomc	nonpomc	OK	16.610	15.019	-0.145	-0.682	1.75E-01	2.06E-01	no	0.904	No
Nap1l3	Nap1l3	Nap1l3	54561	nucleosome assembly protein 1-like 3	chrX:122394560-122397385	pomc	nonpomc	OK	50.743	45.878	-0.145	-0.777	1.16E-01	1.42E-01	no	0.904	No
Oprk1	Oprk1	Oprk1	18387	"opioid receptor, kappa 1"	chr1:5588492-5606133	pomc	nonpomc	OK	4.896	4.427	-0.145	-0.593	2.39E-01	2.74E-01	no	0.904	No
Zbtb3	Zbtb3	Zbtb3	75291	zinc finger and BTB domain containing 3	chr19:8802495-8804854	pomc	nonpomc	OK	1.792	1.620	-0.146	-0.373	4.62E-01	5.02E-01	no	0.904	No
Slc9a2	Slc9a2	Slc9a2	226999	"solute carrier family 9 (sodium/hydrogen exchanger), member 2"	chr1:40681711-40768885	pomc	nonpomc	OK	1.527	1.381	-0.146	-0.409	4.21E-01	4.60E-01	no	0.904	No
Ptpn12	Ptpn12	Ptpn12	19248	"protein tyrosine phosphatase, non-receptor type 12"	chr5:20986644-21055797	pomc	nonpomc	OK	15.890	14.361	-0.146	-0.718	1.56E-01	1.86E-01	no	0.904	No
Acsf2	Acsf2	Acsf2	264895	acyl-CoA synthetase family member 2	chr11:94557101-94601786	pomc	nonpomc	OK	4.357	3.936	-0.146	-0.571	2.60E-01	2.96E-01	no	0.903	No
Tmem214	Tmem214	Tmem214	68796	transmembrane protein 214	chr5:30869646-30877467	pomc	nonpomc	OK	13.719	12.394	-0.147	-0.719	1.56E-01	1.86E-01	no	0.903	No
Zmym6	Zmym6	Zmym6	100177	"zinc finger, MYM-type 6"	chr4:127077382-127124294	pomc	nonpomc	OK	15.676	14.157	-0.147	-0.742	1.38E-01	1.66E-01	no	0.903	No
BC024978	BC024978	BC024978	414069	cDNA sequence BC024978	chr7:27187005-27204320	pomc	nonpomc	OK	6.003	5.420	-0.148	-0.319	5.26E-01	5.64E-01	no	0.903	No
Flt3l	Flt3l	Flt3l	14256	FMS-like tyrosine kinase 3 ligand	chr7:45131188-45136432	pomc	nonpomc	OK	1.243	1.122	-0.148	-0.257	6.09E-01	6.43E-01	no	0.902	No
Nbeal2	Nbeal2	Nbeal2	235627	neurobeachin-like 2	chr9:110624788-110654161	pomc	nonpomc	OK	2.576	2.325	-0.148	-0.680	1.86E-01	2.18E-01	no	0.902	No
2010300C02Rik	2010300C02Rik	2010300C02Rik	72097	RIKEN cDNA 2010300C02 gene	chr1:37611675-37719811	pomc	nonpomc	OK	9.822	8.862	-0.149	-0.767	1.32E-01	1.60E-01	no	0.902	No
Mirlet7d	Mirlet7d	Mirlet7d	387247	microRNA let7d	chr13:48536011-48536114	pomc	nonpomc	OK	54.342	49.018	-0.149	-0.129	8.46E-01	8.63E-01	no	0.902	No
Zbtb32	Zbtb32	Zbtb32	58206	zinc finger and BTB domain containing 32	chr7:30589680-30592942	pomc	nonpomc	OK	0.489	0.441	-0.150	-0.229	6.46E-01	6.79E-01	no	0.901	No
Neurl1b	Neurl1b	Neurl1b	240055	neuralized E3 ubiquitin protein ligase 1B	chr17:26414964-26446342	pomc	nonpomc	OK	2.050	1.848	-0.150	-0.588	2.40E-01	2.75E-01	no	0.901	No
H2-T23	H2-T23	H2-T23	15040	"histocompatibility 2, T region locus 23"	chr17:35994503-36038174	pomc	nonpomc	OK	2.840	2.559	-0.150	-0.218	6.66E-01	6.97E-01	no	0.901	No
Tyw3	Tyw3	Tyw3	209584	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)	chr3:154576519-154623182	pomc	nonpomc	OK	3.443	3.102	-0.151	-0.463	3.54E-01	3.93E-01	no	0.901	No
Slc7a10	Slc7a10	Slc7a10	53896	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 10"	chr7:35186384-35215345	pomc	nonpomc	OK	12.011	10.819	-0.151	-0.364	4.80E-01	5.19E-01	no	0.901	No
Phtf2	Phtf2	Phtf2	68770	putative homeodomain transcription factor 2	chr5:20758663-20882124	pomc	nonpomc	OK	3.658	3.294	-0.151	-0.593	2.39E-01	2.74E-01	no	0.900	No
Rep15	Rep15	Rep15	66532	RAB15 effector protein	chr6:147032536-147033518	pomc	nonpomc	OK	0.536	0.483	-0.151	-0.165	7.48E-01	7.73E-01	no	0.900	No
Dusp10	Dusp10	Dusp10	63953	dual specificity phosphatase 10	chr1:184034460-184075636	pomc	nonpomc	OK	3.817	3.437	-0.151	-0.523	2.91E-01	3.28E-01	no	0.900	No
Ccdc21	Ccdc21	Ccdc21	.	.	chr4:134129857-134187085	pomc	nonpomc	OK	3.820	3.439	-0.151	-0.594	2.33E-01	2.68E-01	no	0.900	No
Map4k1	Map4k1	Map4k1	26411	mitogen-activated protein kinase kinase kinase kinase 1	chr7:28982853-29003278	pomc	nonpomc	OK	0.698	0.628	-0.152	-0.315	5.17E-01	5.56E-01	no	0.900	No
Gpr50	Gpr50	Gpr50	14765	G-protein-coupled receptor 50	chrX:71663766-71668089	pomc	nonpomc	OK	2.685	2.417	-0.152	-0.408	4.13E-01	4.52E-01	no	0.900	No
Rad54l2	Rad54l2	Rad54l2	81000	RAD54 like 2 (S. cerevisiae)	chr9:106688079-106789213	pomc	nonpomc	OK	4.218	3.796	-0.152	-0.749	1.38E-01	1.66E-01	no	0.900	No
Zfp558	Zfp558	Zfp558	72230	zinc finger protein 558	chr9:18454053-18473559	pomc	nonpomc	OK	2.151	1.936	-0.152	-0.455	3.72E-01	4.11E-01	no	0.900	No
Plch2	Plch2	Plch2	269615	"phospholipase C, eta 2"	chr4:154983114-155010984	pomc	nonpomc	OK	4.126	3.712	-0.152	-0.715	1.63E-01	1.93E-01	no	0.900	No
Trub1	Trub1	Trub1	72133	TruB pseudouridine (psi) synthase family member 1	chr19:57452905-57491005	pomc	nonpomc	OK	9.445	8.496	-0.153	-0.712	1.49E-01	1.79E-01	no	0.900	No
5730419I09Rik	5730419I09Rik	5730419I09Rik	.	.	chr6:143010919-143100107	pomc	nonpomc	OK	18.212	16.382	-0.153	-0.791	1.15E-01	1.40E-01	no	0.900	No
Ogn	Ogn	Ogn	18295	osteoglycin	chr13:49464058-49652731	pomc	nonpomc	OK	5.907	5.313	-0.153	-0.342	4.97E-01	5.35E-01	no	0.899	No
Usp4	Usp4	Usp4	22258	ubiquitin specific peptidase 4 (proto-oncogene)	chr9:108347830-108392529	pomc	nonpomc	OK	24.913	22.404	-0.153	-0.805	1.04E-01	1.28E-01	no	0.899	No
D19Bwg1357e	D19Bwg1357e	D19Bwg1357e	.	.	chr19:27388701-27429820	pomc	nonpomc	OK	9.694	8.716	-0.153	-0.714	1.51E-01	1.80E-01	no	0.899	No
Hif3a	Hif3a	Hif3a	53417	"hypoxia inducible factor 3, alpha subunit"	chr7:17030992-17062427	pomc	nonpomc	OK	1.737	1.561	-0.154	-0.582	2.48E-01	2.84E-01	no	0.899	No
Ubash3b	Ubash3b	Ubash3b	72828	"ubiquitin associated and SH3 domain containing, B"	chr9:41013640-41157494	pomc	nonpomc	OK	6.922	6.220	-0.154	-0.672	1.78E-01	2.10E-01	no	0.899	No
Ccdc126	Ccdc126	Ccdc126	57895	coiled-coil domain containing 126	chr6:49319352-49341581	pomc	nonpomc	OK	6.327	5.684	-0.155	-0.542	2.76E-01	3.12E-01	no	0.898	No
Col9a3	Col9a3	Col9a3	12841	"collagen, type IX, alpha 3"	chr2:180598221-180642691	pomc	nonpomc	OK	1.800	1.617	-0.155	-0.484	3.41E-01	3.79E-01	no	0.898	No
Magee1	Magee1	Magee1	107528	"melanoma antigen, family E, 1"	chrX:105120395-105123911	pomc	nonpomc	OK	64.626	58.049	-0.155	-0.825	9.97E-02	1.23E-01	no	0.898	No
Epb4.1l4a	Epb4.1l4a	Epb4.1l4a	.	.	chr18:33796326-34007206	pomc	nonpomc	OK	6.446	5.789	-0.155	-0.707	1.56E-01	1.86E-01	no	0.898	No
Pkp4	Pkp4	Pkp4	227937	plakophilin 4	chr2:59160849-59355205	pomc	nonpomc	OK	43.662	39.212	-0.155	-0.832	9.34E-02	1.16E-01	no	0.898	No
Psen1	Psen1	Psen1	19164	presenilin 1	chr12:83688562-83735199	pomc	nonpomc	OK	11.469	10.298	-0.155	-0.724	1.42E-01	1.71E-01	no	0.898	No
BC049715	BC049715	BC049715	320135	cDNA sequence BC049715	chr6:136828842-136840557	pomc	nonpomc	OK	1.788	1.605	-0.156	-0.173	7.30E-01	7.56E-01	no	0.898	No
Eml5	Eml5	Eml5	319670	echinoderm microtubule associated protein like 5	chr12:98746967-98901484	pomc	nonpomc	OK	17.276	15.509	-0.156	-0.658	1.88E-01	2.20E-01	no	0.898	No
Galns	Galns	Galns	50917	galactosamine (N-acetyl)-6-sulfate sulfatase	chr8:122578236-122611487	pomc	nonpomc	OK	2.952	2.650	-0.156	-0.517	2.98E-01	3.35E-01	no	0.897	No
Pus7	Pus7	Pus7	78697	pseudouridylate synthase 7	chr5:23740695-23783661	pomc	nonpomc	OK	6.288	5.642	-0.156	-0.659	1.86E-01	2.18E-01	no	0.897	No
Sox11	Sox11	Sox11	20666	SRY (sex determining region Y)-box 11	chr12:27334267-27342718	pomc	nonpomc	OK	5.243	4.705	-0.156	-0.791	1.34E-01	1.62E-01	no	0.897	No
Cyth3	Cyth3	Cyth3	19159	cytohesin 3	chr5:143622446-143710248	pomc	nonpomc	OK	10.125	9.085	-0.156	-0.762	1.30E-01	1.58E-01	no	0.897	No
3110007F17Rik	3110007F17Rik	3110007F17Rik	.	.	chrX:123103558-123143293	pomc	nonpomc	OK	2.836	2.545	-0.156	-0.294	5.59E-01	5.96E-01	no	0.897	No
Zfpm1	Zfpm1	Zfpm1	22761	"zinc finger protein, multitype 1"	chr8:122282140-122337247	pomc	nonpomc	OK	4.056	3.639	-0.157	-0.709	1.97E-01	2.30E-01	no	0.897	No
8430429K09Rik	8430429K09Rik	8430429K09Rik	71523	RIKEN cDNA 8430429K09 gene	chr11:3202352-3479831	pomc	nonpomc	OK	11.951	10.719	-0.157	-0.134	7.90E-01	8.12E-01	no	0.897	No
1810020O05Rik	1810020O05Rik	1810020O05Rik	613264	Riken cDNA 1810020O05 gene	chr6:87675592-87690847	pomc	nonpomc	OK	1.055	0.946	-0.157	-0.232	6.39E-01	6.72E-01	no	0.897	No
